,cutTime,cutAcc
0,1657259720767,16.91428603288333
1,1657259721853,32.72264647570639
2,1657259723938,13.504246583560354
3,1657259725093,47.651371869990044
4,1657259725379,13.808603500214176
5,1657259725785,50.55784395002131
6,1657259726064,13.632085444405938
7,1657259726464,37.62910675259014
8,1657259726747,14.477711661853547
9,1657259727131,26.317574381453486
10,1657259727249,17.20381883130449
11,1657259728023,36.398975027794684
12,1657259728793,34.96409520353255
13,1657259729817,21.248455163592716
14,1657259730877,27.989488261107205
15,1657259734475,27.39378503314073
16,1657259735140,31.59910238065703
17,1657259735939,38.79188149529232
18,1657259736588,31.367160131385578
19,1657259737215,34.30320666303292
20,1657259737784,35.10895779935995
21,1657259739423,44.53912109965734
22,1657259742103,33.04316672903997
23,1657259743151,27.146812247190386
24,1657259743912,22.69744498569671
25,1657259744583,25.87100119228102
26,1657259745252,20.408507003109783
27,1657259746982,37.38810950468308
28,1657259747680,32.37728858999093
29,1657259748270,30.163442370293083
30,1657259749679,42.43115753853312
31,1657259749983,13.913346925631155
32,1657259750324,36.58966707491569
33,1657259750991,25.694925919626797
34,1657259753963,14.065932040427981
35,1657259754930,37.67856146378565
36,1657259755556,25.24775117492289
37,1657259756226,30.524571843004253
38,1657259758146,36.87929118229842
39,1657259758883,27.402360877259973
40,1657259759648,24.063901151783934
41,1657259760316,26.415833286224142
42,1657259761038,20.780629768848225
43,1657259761966,39.73669069650781
44,1657259762635,17.78814845423793
45,1657259762979,13.794018535741937
46,1657259764082,30.10845808839508
47,1657259764843,22.492639946384816
48,1657259765643,21.429073492096638
49,1657259766384,17.999415365638466
50,1657259767189,18.933950001680394
51,1657259771276,14.399810450484916
52,1657259772570,37.5839599301591
53,1657259773197,19.91473929066495
54,1657259776128,37.623172110921764
55,1657259777215,20.20103483810295
56,1657259777883,17.230827675682306
57,1657259778717,17.114613863905575
58,1657259780008,34.388701366480674
59,1657259781199,19.0644576974605
60,1657259782996,21.720170703784007
61,1657259786061,33.600277242167266
62,1657259787687,13.65138259174239
63,1657259788590,26.78296309688157
64,1657259789722,35.11224248994131
65,1657259790748,37.93084806558057
66,1657259791675,21.645868427541632
67,1657259793366,14.895884808307413
68,1657259795136,15.965344206459333
69,1657259795936,17.12570052214843
