time,heartRate
1657260263970,136.40979
1657260265036,135.76697
1657260265997,135.68428
1657260266980,135.66516
1657260267969,137.78827
1657260268955,137.78662
1657260269880,137.78662
1657260270924,136.71152
1657260271916,135.62126
1657260272896,134.35237
1657260273888,132.18507
1657260274863,129.86093
1657260275799,129.86093
1657260276852,129.42386
1657260277819,129.35243
1657260278812,126.252686
1657260279785,137.26001
1657260280780,139.35132
1657260281705,139.35132
1657260282750,140.13702
1657260283762,139.05017
1657260284714,138.55832
1657260285698,139.64162
1657260286687,138.52492
1657260287607,138.52492
1657260288663,139.2667
1657260289645,138.88148
1657260290621,138.19012
1657260291612,139.7329
1657260292599,142.32635
1657260293535,142.32635
1657260294566,142.5938
1657260295545,143.85587
1657260296534,143.8076
1657260297548,142.68726
1657260298516,142.65971
1657260299434,142.65971
1657260300471,145.09703
1657260301452,141.7332
1657260302446,141.60304
1657260303425,140.56502
1657260304414,140.29344
1657260305346,140.29344
1657260306383,140.1266
1657260307370,139.11894
1657260308367,138.83818
1657260309336,138.67372
1657260310324,138.5513
1657260311249,138.5513
1657260312297,136.6809
1657260313280,137.0062
1657260314261,136.74762
1657260315257,136.54832
1657260316232,136.39536
1657260317157,136.39536
1657260318206,136.28651
1657260319181,136.18625
1657260320174,135.3714
1657260321157,134.50937
1657260322138,135.27313
1657260323069,135.27313
1657260324113,135.63828
1657260325092,135.60387
1657260326081,135.78902
1657260327083,130.21092
1657260328046,126.39346
1657260328982,126.39346
1657260330017,125.44104
1657260331004,126.7628
1657260331986,128.68971
1657260332964,129.72192
1657260333984,129.89526
1657260334880,129.89526
1657260335923,129.49258
1657260336931,129.52704
1657260337890,129.51042
1657260338882,129.46489
1657260339863,128.27899
1657260340788,128.27899
1657260341832,128.22424
1657260342815,128.75165
1657260343801,128.78763
1657260344786,130.34329
1657260345767,131.36581
1657260346705,131.36581
1657260347778,131.3364
1657260348721,132.14008
1657260349715,132.19699
1657260350696,131.27869
1657260351681,132.0663
1657260352613,132.0663
1657260353651,131.19994
1657260354636,131.08965
1657260355621,130.42595
1657260356599,129.74667
1657260357591,129.64478
1657260358519,129.64478
1657260359558,129.25443
1657260360555,128.73166
1657260361524,128.70154
1657260362512,128.7445
1657260363501,128.76076
1657260364421,128.76076
